,Name of movie,Rating,Genre,Watchtime,Stars
167,L.A. Confidential,R,Crime Drama Mystery,138,8.2
168,The Bandit,Not Rated,Crime Drama Thriller,128,8.2
169,Heat,R,Crime Drama Thriller,170,8.2
170,Casino,R,Crime Drama,178,8.2
171,Unforgiven,R,Drama Western,130,8.2
172,Indiana Jones and the Last Crusade,PG-13,Action Adventure,127,8.2
173,Time of the Gypsies,R,Comedy Crime Drama,142,8.2
174,My Neighbor Totoro,G,Animation Family Fantasy,86,8.2
175,Die Hard,R,Action Thriller,132,8.2
176,Ran,R,Action Drama War,162,8.2
177,Raging Bull,R,Biography Drama Sport,129,8.2
178,Autumn Sonata,PG,Drama Music,99,8.2
179,Taxi Driver,R,Crime Drama,114,8.2
180,The Message,PG,Biography Drama History,177,8.2
181,Sholay,Not Rated,Action Adventure Comedy,162,8.2
182,Monty Python and the Holy Grail,PG,Adventure Comedy Fantasy,91,8.2
183,Chinatown,R,Drama Mystery Thriller,130,8.2
184,Anand,Not Rated,Drama Musical,122,8.2
185,For a Few Dollars More,R,Western,132,8.2
186,The Great Escape,Not Rated,Adventure Drama History,172,8.2
187,Yojimbo,Not Rated,Action Drama Thriller,110,8.2
188,Judgment at Nuremberg,Not Rated,Drama War,179,8.2
189,Some Like It Hot,Not Rated,Comedy Music Romance,121,8.2
190,Wild Strawberries,Not Rated,Drama Romance,91,8.2
191,The Seventh Seal,Not Rated,Drama Fantasy History,96,8.2
192,Dial M for Murder,PG,Crime Thriller,105,8.2
193,Tokyo Story,Not Rated,Drama,136,8.2
194,Rashomon,Not Rated,Crime Drama Mystery,88,8.2
195,All About Eve,Not Rated,Drama,138,8.2
196,The Treasure of the Sierra Madre,Not Rated,Adventure Drama Western,126,8.2
197,To Be or Not to Be,Not Rated,Comedy Romance War,99,8.2
198,The Gold Rush,Not Rated,Adventure Comedy Drama,95,8.2
199,Sherlock Jr.,Not Rated,Action Comedy Romance,45,8.2
200,Portrait of a Lady on Fire,R,Drama Romance,122,8.1
201,Pink,Not Rated,Crime Drama Thriller,136,8.1
202,Wolfwalkers,PG,Animation Adventure Family,103,8.1
203,"Three Billboards Outside Ebbing, Missouri",R,Comedy Crime Drama,115,8.1
204,The Invisible Guest,TV-MA,Crime Drama Mystery,106,8.1
205,The Handmaiden,Not Rated,Drama Romance Thriller,145,8.1
206,Mommy,R,Drama,139,8.1
207,Haider,Not Rated,Action Crime Drama,160,8.1
208,Logan,R,Action Drama Sci-Fi,137,8.1
209,Room,R,Drama Thriller,118,8.1
210,Wild Tales,R,Comedy Drama Thriller,122,8.1
211,Soul,PG,Animation Adventure Comedy,100,8.1
212,Winter Sleep,Not Rated,Drama,196,8.1
213,PK,Not Rated,Comedy Drama Musical,153,8.1
214,OMG: Oh My God!,Not Rated,Comedy Drama Fantasy,125,8.1
215,The Grand Budapest Hotel,R,Adventure Comedy Crime,99,8.1
216,Gone Girl,R,Drama Mystery Thriller,149,8.1
217,Wolf Children,PG,Animation Drama Fantasy,117,8.1
218,Hacksaw Ridge,R,Biography Drama History,139,8.1
219,Inside Out,PG,Animation Adventure Comedy,95,8.1
220,Barfi!,Not Rated,Comedy Drama Romance,151,8.1
221,12 Years a Slave,R,Biography Drama History,134,8.1
222,Rush,R,Action Biography Drama,123,8.1
223,Ford v Ferrari,PG-13,Action Biography Drama,152,8.1
224,Spotlight,R,Biography Crime Drama,129,8.1
225,Song of the Sea,PG,Animation Adventure Drama,93,8.1
226,Kahaani,Not Rated,Mystery Thriller,122,8.1
227,Prisoners,R,Crime Drama Mystery,153,8.1
228,Mad Max: Fury Road,R,Action Adventure Sci-Fi,120,8.1
229,Warrior,PG-13,Action Drama Sport,140,8.1
230,A Wednesday,Not Rated,Action Crime Drama,104,8.1
231,Zack Snyder's Justice League,R,Action Adventure Fantasy,242,8.1
232,Gran Torino,R,Drama,116,8.1
233,Harry Potter and the Deathly Hallows: Part 2,PG-13,Adventure Drama Fantasy,130,8.1
234,Departures,PG-13,Drama Music,130,8.1
235,Hachi: A Dog's Tale,G,Biography Drama Family,93,8.1
236,Mary and Max,Not Rated,Animation Comedy Drama,92,8.1
237,How to Train Your Dragon,PG,Animation Action Adventure,98,8.1
238,Into the Wild,R,Adventure Biography Drama,148,8.1
239,No Country for Old Men,R,Crime Drama Thriller,122,8.1
240,"Carry On, Munna Bhai",Not Rated,Comedy Drama Romance,144,8.1
241,V for Vendetta,R,Action Drama Sci-Fi,132,8.1
242,Nobody Knows,PG-13,Drama,141,8.1
243,Rang De Basanti,Not Rated,Comedy Crime Drama,167,8.1
244,Million Dollar Baby,PG-13,Drama Sport,132,8.1
245,Hotel Rwanda,PG-13,Biography Drama History,121,8.1
246,Before Sunset,R,Drama Romance,80,8.1
247,Munna Bhai M.B.B.S.,Not Rated,Comedy Drama,156,8.1
248,Memories of Murder,Not Rated,Crime Drama Mystery,132,8.1
249,Dil Chahta Hai,Not Rated,Comedy Drama Romance,183,8.1
250,Kill Bill: Vol. 1,R,Action Crime Drama,111,8.1
251,Finding Nemo,G,Animation Adventure Comedy,100,8.1
252,Catch Me If You Can,PG-13,Biography Crime Drama,141,8.1
253,Love's a Bitch,R,Drama Thriller,154,8.1
254,"Monsters, Inc.",G,Animation Adventure Comedy,92,8.1
255,Neon Genesis Evangelion: The End of Evangelion,TV-MA,Animation Action Drama,87,8.1
256,Lagaan: Once Upon a Time in India,PG,Drama Musical Sport,224,8.1
257,The Sixth Sense,PG-13,Drama Mystery Thriller,107,8.1
258,The Celebration,R,Drama,105,8.1
259,The Legend of 1900,R,Drama Music Romance,169,8.1
260,The Truman Show,PG,Comedy Drama,103,8.1
261,"Black Cat, White Cat",R,Comedy Crime Romance,127,8.1
262,The Big Lebowski,R,Comedy Crime Sport,117,8.1
263,In the Mood for Love,PG,Drama Romance,98,8.1
264,Trainspotting,R,Drama,93,8.1
265,Fargo,R,Crime Drama Thriller,98,8.1
266,Underground,Not Rated,Comedy Drama Fantasy,167,8.1
267,La Haine,Not Rated,Crime Drama,98,8.1
268,Dilwale Dulhania Le Jayenge,Not Rated,Drama Romance,181,8.1
269,Before Sunrise,R,Drama Romance,101,8.1
270,Three Colors: Red,R,Drama Mystery Romance,99,8.1
271,Chungking Express,PG-13,Comedy Crime Drama,102,8.1
272,Andaz Apna Apna,Not Rated,Action Comedy Romance,160,8.1
273,Jurassic Park,PG-13,Action Adventure Sci-Fi,127,8.1
274,In the Name of the Father,R,Biography Crime Drama,133,8.1
275,Farewell My Concubine,R,Drama Music Romance,171,8.1
276,Raise the Red Lantern,PG,Drama History Romance,125,8.1
277,Dead Poets Society,PG,Comedy Drama,128,8.1
278,The Princess Bride,PG,Adventure Family Fantasy,98,8.1
279,Stand by Me,R,Adventure Drama,89,8.1
280,Platoon,R,Drama War,120,8.1
281,"Paris, Texas",R,Drama,145,8.1
282,Nausicaä of the Valley of the Wind,PG,Animation Adventure Fantasy,117,8.1
283,The Thing,R,Horror Mystery Sci-Fi,109,8.1
284,Fitzcarraldo,PG,Adventure Drama,158,8.1
285,Fanny and Alexander,R,Drama,188,8.1
286,Blade Runner,R,Action Sci-Fi Thriller,117,8.1
287,The Elephant Man,PG,Biography Drama,124,8.1
288,Stalker,Not Rated,Drama Sci-Fi,162,8.1
289,Monty Python's Life of Brian,R,Comedy,94,8.1
290,The Deer Hunter,R,Drama War,183,8.1
291,Rocky,PG,Drama Sport,120,8.1
292,Network,R,Drama,121,8.1
293,Barry Lyndon,PG,Adventure Drama History,185,8.1
294,Mirror,Not Rated,Biography Drama,107,8.1
295,Paper Moon,PG,Comedy Crime Drama,102,8.1
296,Cries & Whispers,R,Drama,91,8.1
297,Solaris,PG,Drama Mystery Sci-Fi,167,8.1
298,Le Samouraï,GP,Crime Drama Mystery,101,8.1
299,Cool Hand Luke,GP,Crime Drama,127,8.1
300,Persona,Not Rated,Drama Thriller,83,8.1
301,Andrei Rublev,R,Biography Drama History,205,8.1
302,The Battle of Algiers,Not Rated,Drama War,121,8.1
303,The Exterminating Angel,Not Rated,Drama Fantasy,95,8.1
304,What Ever Happened to Baby Jane?,Not Rated,Drama Horror Thriller,134,8.1
305,Sanjuro,Not Rated,Action Comedy Crime,96,8.1
306,The Man Who Shot Liberty Valance,Not Rated,Drama Western,123,8.1
307,Ivan's Childhood,Not Rated,Drama War,95,8.1
308,The Virgin Spring,Not Rated,Drama,89,8.1
309,Inherit the Wind,Not Rated,Biography Drama History,128,8.1
310,The 400 Blows,Not Rated,Crime Drama,99,8.1
311,Ben-Hur,G,Adventure Drama History,212,8.1
312,The Hidden Fortress,Not Rated,Adventure Drama,126,8.1
313,Nights of Cabiria,Not Rated,Drama,110,8.1
314,Throne of Blood,Not Rated,Drama History,110,8.1
315,The Bridge on the River Kwai,PG,Adventure Drama War,161,8.1
316,Rififi,Not Rated,Crime Drama Thriller,118,8.1
317,On the Waterfront,Not Rated,Crime Drama Thriller,108,8.1
318,Diabolique,Not Rated,Crime Drama Horror,117,8.1
319,The Wages of Fear,Not Rated,Adventure Drama Thriller,131,8.1
320,Ace in the Hole,Not Rated,Drama Film-Noir,111,8.1
321,White Heat,Not Rated,Action Crime Drama,114,8.1
322,The Third Man,Not Rated,Film-Noir Mystery Thriller,93,8.1
323,The Red Shoes,Not Rated,Drama Music Romance,135,8.1
324,The Best Years of Our Lives,Not Rated,Drama Romance War,170,8.1
325,The Shop Around the Corner,Not Rated,Comedy Drama Romance,99,8.1
326,Rebecca,Not Rated,Drama Mystery Romance,130,8.1
327,The Grapes of Wrath,Not Rated,Drama History,129,8.1
328,Mr. Smith Goes to Washington,Not Rated,Comedy Drama,129,8.1
329,Gone with the Wind,Not Rated,Drama History Romance,238,8.1
330,La Grande Illusion,Not Rated,Drama War,113,8.1
331,It Happened One Night,Not Rated,Comedy Romance,105,8.1
332,All Quiet on the Western Front,Not Rated,Drama War,152,8.1
333,The Passion of Joan of Arc,Not Rated,Biography Drama History,114,8.1
334,The Circus,Not Rated,Comedy Romance,72,8.1
335,Sunrise,Not Rated,Drama Romance,94,8.1
336,The General,Not Rated,Action Adventure Comedy,67,8.1
337,The Cabinet of Dr. Caligari,Not Rated,Fantasy Horror Mystery,67,8.1
338,Shang-Chi and the Legend of the Ten Rings,PG-13,Action Adventure Fantasy,132,8.0
339,Badhaai Ho,Not Rated,Comedy Drama,124,8.0
340,Togo,PG,Adventure Biography Drama,113,8.0
341,Airlift,Not Rated,Drama History,130,8.0
342,Bajrangi Bhaijaan,Not Rated,Action Adventure Comedy,163,8.0
343,Baby,Not Rated,Action Thriller,159,8.0
344,La La Land,PG-13,Comedy Drama Music,128,8.0
345,Lion,PG-13,Biography Drama,118,8.0
346,The Martian,PG-13,Adventure Drama Sci-Fi,144,8.0
347,Zootopia,PG,Animation Adventure Comedy,108,8.0
348,Baahubali: The Beginning,Not Rated,Action Drama,159,8.0
349,The Tale of The Princess Kaguya,PG,Animation Adventure Drama,137,8.0
350,Wonder,PG,Drama Family,113,8.0
351,Special 26,Not Rated,Crime Drama Thriller,144,8.0
352,Short Term 12,R,Drama,96,8.0
353,The Raid 2,R,Action Crime Thriller,150,8.0
354,The Imitation Game,PG-13,Biography Drama Thriller,114,8.0
355,Guardians of the Galaxy,PG-13,Action Adventure Comedy,121,8.0
356,Blade Runner 2049,R,Action Drama Mystery,164,8.0
357,Her,R,Drama Romance Sci-Fi,126,8.0
358,The Revenant,R,Action Adventure Drama,156,8.0
359,Elite Squad 2: The Enemy Within,Not Rated,Action Crime Drama,115,8.0
360,The King's Speech,R,Biography Drama History,118,8.0
361,The Help,PG-13,Drama,146,8.0
362,Deadpool,R,Action Adventure Comedy,108,8.0
363,Darbareye Elly,TV-PG,Drama Mystery,119,8.0
364,Dev.D,Not Rated,Comedy Drama Romance,144,8.0
365,Ip Man,R,Action Biography Drama,106,8.0
366,My Name Is Khan,PG-13,Drama,165,8.0
367,Nefes: Vatan Sagolsun,Not Rated,Action Drama Thriller,128,8.0
368,Slumdog Millionaire,R,Drama Romance,120,8.0
369,Black Swan,R,Drama Thriller,108,8.0
370,Elite Squad,R,Action Crime Drama,115,8.0
371,The Avengers,PG-13,Action Adventure Sci-Fi,143,8.0
372,Persepolis,PG-13,Animation Biography Drama,96,8.0
373,Dallas Buyers Club,R,Biography Drama,117,8.0
374,The Pursuit of Happyness,PG-13,Biography Drama,117,8.0
375,Blood Diamond,R,Adventure Drama Thriller,143,8.0
376,The Bourne Ultimatum,PG-13,Action Adventure Mystery,115,8.0
377,3-Iron,R,Crime Drama Romance,88,8.0
378,Sin City,R,Crime Thriller,124,8.0
379,The Diving Bell and the Butterfly,PG-13,Biography Drama,112,8.0
380,Tae Guk Gi: The Brotherhood of War,R,Action Drama War,140,8.0
381,G.O.R.A.,Not Rated,Adventure Comedy Sci-Fi,127,8.0
382,Ratatouille,G,Animation Adventure Comedy,111,8.0
383,Casino Royale,PG-13,Action Adventure Thriller,144,8.0
384,Kill Bill: Vol. 2,R,Action Crime Thriller,137,8.0
385,The Return,Not Rated,Drama,110,8.0
386,"Spring, Summer, Fall, Winter... and Spring",R,Drama Romance,103,8.0
387,The Sea Inside,PG-13,Biography Drama,126,8.0
388,Cinderella Man,PG-13,Biography Drama History,144,8.0
389,Infernal Affairs,R,Action Crime Drama,101,8.0
390,Pirates of the Caribbean: The Curse of the Black Pearl,PG-13,Action Adventure Fantasy,143,8.0
391,Big Fish,PG-13,Adventure Drama Fantasy,125,8.0
392,The Incredibles,PG,Animation Action Adventure,115,8.0
393,My Sassy Girl,Not Rated,Comedy Drama Romance,137,8.0
394,Dogville,R,Crime Drama,178,8.0
395,Vizontele,Not Rated,Comedy Drama,110,8.0
396,Donnie Darko,R,Drama Mystery Sci-Fi,113,8.0
397,Magnolia,R,Drama,188,8.0
398,Dancer in the Dark,R,Crime Drama Musical,140,8.0
399,The Straight Story,G,Biography Drama,112,8.0
400,Perfect Blue,R,Animation Crime Mystery,81,8.0
401,Central Station,R,Drama,110,8.0
402,The Iron Giant,PG,Animation Action Adventure,86,8.0
403,Sling Blade,R,Drama,135,8.0
404,Secrets & Lies,R,Comedy Drama,136,8.0
405,12 Monkeys,R,Mystery Sci-Fi Thriller,129,8.0
406,Ghost in the Shell,TV-MA,Animation Action Crime,83,8.0
407,The Nightmare Before Christmas,PG,Animation Family Fantasy,76,8.0
408,Groundhog Day,PG,Comedy Fantasy Romance,101,8.0
409,"Blood In, Blood Out",R,Crime Drama,180,8.0
410,Scent of a Woman,R,Drama,156,8.0
411,Aladdin,G,Animation Adventure Comedy,90,8.0
412,JFK,R,Drama History Thriller,189,8.0
413,Beauty and the Beast,G,Animation Family Fantasy,84,8.0
414,Dances with Wolves,PG-13,Adventure Drama Western,181,8.0
415,Do the Right Thing,R,Comedy Drama,120,8.0
416,Rain Man,R,Drama,133,8.0
417,Akira,R,Animation Action Drama,124,8.0
418,Wings of Desire,PG-13,Drama Fantasy Romance,128,8.0
419,Au Revoir les Enfants,PG,Drama War,104,8.0
420,Castle in the Sky,PG,Animation Adventure Drama,125,8.0
421,The Sacrifice,PG,Drama,149,8.0
422,The Terminator,R,Action Sci-Fi,107,8.0
423,Pink Floyd: The Wall,R,Drama Fantasy Music,95,8.0
424,Gandhi,PG,Biography Drama History,191,8.0
425,Kagemusha,PG,Drama History War,162,8.0
426,Being There,PG,Comedy Drama,130,8.0
427,Annie Hall,PG,Comedy Romance,93,8.0
428,All the President's Men,PG,Biography Drama History,138,8.0
429,Jaws,PG,Adventure Thriller,124,8.0
430,Dog Day Afternoon,R,Biography Crime Drama,125,8.0
431,Young Frankenstein,PG,Comedy,106,8.0
432,Papillon,R,Biography Crime Drama,151,8.0
433,The Exorcist,R,Horror,122,8.0
434,Sleuth,PG,Mystery Thriller,138,8.0
435,The Last Picture Show,R,Drama Romance,118,8.0
436,Fiddler on the Roof,G,Drama Family Musical,181,8.0
437,The Conformist,R,Drama,113,8.0
438,Butch Cassidy and the Sundance Kid,PG,Biography Crime Drama,110,8.0
439,Rosemary's Baby,Not Rated,Drama Horror,137,8.0
440,Planet of the Apes,G,Adventure Sci-Fi,112,8.0
441,The Graduate,PG,Comedy Drama Romance,106,8.0
442,Who's Afraid of Virginia Woolf?,Not Rated,Drama,131,8.0
443,The Sound of Music,G,Biography Drama Family,172,8.0
444,Doctor Zhivago,PG-13,Drama Romance War,197,8.0
445,A Fistful of Dollars,R,Action Drama Western,99,8.0
446,8½,Not Rated,Drama,138,8.0
447,Vivre Sa Vie,Not Rated,Drama,85,8.0
448,The Hustler,Not Rated,Drama Sport,134,8.0
449,The Sweet Life,Not Rated,Comedy Drama,174,8.0
450,Rio Bravo,Not Rated,Action Drama Western,141,8.0
451,Anatomy of a Murder,Not Rated,Crime Drama Mystery,161,8.0
452,Touch of Evil,PG-13,Crime Drama Film-Noir,95,8.0
453,Cat on a Hot Tin Roof,Not Rated,Drama,108,8.0
454,Sweet Smell of Success,Not Rated,Drama Film-Noir,96,8.0
455,The Killing,Not Rated,Crime Drama Film-Noir,84,8.0
456,The Night of the Hunter,Not Rated,Crime Drama Film-Noir,92,8.0
457,La Strada,Not Rated,Drama,108,8.0
458,Stalag 17,Not Rated,Comedy Drama War,120,8.0
459,Roman Holiday,Not Rated,Comedy Romance,118,8.0
460,High Noon,PG,Drama Thriller Western,85,8.0
461,A Streetcar Named Desire,PG,Drama,122,8.0
462,Strangers on a Train,PG,Crime Film-Noir Thriller,101,8.0
463,In a Lonely Place,Not Rated,Drama Film-Noir Mystery,94,8.0
464,Kind Hearts and Coronets,Not Rated,Comedy Crime,106,8.0
465,Rope,Not Rated,Crime Drama Mystery,80,8.0
466,Out of the Past,Not Rated,Crime Drama Film-Noir,97,8.0
467,Notorious,Not Rated,Drama Film-Noir Romance,102,8.0
468,Brief Encounter,Not Rated,Drama Romance,86,8.0
469,Laura,Not Rated,Drama Film-Noir Mystery,88,8.0
470,Arsenic and Old Lace,Not Rated,Comedy Crime Thriller,118,8.0
471,The Maltese Falcon,Not Rated,Crime Film-Noir Mystery,100,8.0
472,The Wizard of Oz,PG,Adventure Family Fantasy,102,8.0
473,The Rules of the Game,Not Rated,Comedy Drama,110,8.0
474,The Thin Man,TV-PG,Comedy Crime Mystery,91,8.0
475,Battleship Potemkin,Not Rated,Drama History Thriller,66,8.0
476,Knives Out,PG-13,Comedy Crime Drama,130,7.9
