,Name of movie,Rating,Genre,Watchtime,Metascore
399,The Straight Story,G,Biography Drama,112,86
401,Central Station,R,Drama,110,80
402,The Iron Giant,PG,Animation Action Adventure,86,85
403,Sling Blade,R,Drama,135,84
404,Secrets & Lies,R,Comedy Drama,136,91
405,12 Monkeys,R,Mystery Sci-Fi Thriller,129,74
406,Ghost in the Shell,TV-MA,Animation Action Crime,83,76
407,The Nightmare Before Christmas,PG,Animation Family Fantasy,76,82
408,Groundhog Day,PG,Comedy Fantasy Romance,101,72
409,"Blood In, Blood Out",R,Crime Drama,180,47
410,Scent of a Woman,R,Drama,156,59
411,Aladdin,G,Animation Adventure Comedy,90,86
412,JFK,R,Drama History Thriller,189,72
413,Beauty and the Beast,G,Animation Family Fantasy,84,95
414,Dances with Wolves,PG-13,Adventure Drama Western,181,72
415,Do the Right Thing,R,Comedy Drama,120,93
416,Rain Man,R,Drama,133,65
418,Wings of Desire,PG-13,Drama Fantasy Romance,128,79
419,Au Revoir les Enfants,PG,Drama War,104,88
420,Castle in the Sky,PG,Animation Adventure Drama,125,78
422,The Terminator,R,Action Sci-Fi,107,84
423,Pink Floyd: The Wall,R,Drama Fantasy Music,95,47
424,Gandhi,PG,Biography Drama History,191,79
425,Kagemusha,PG,Drama History War,162,84
426,Being There,PG,Comedy Drama,130,83
427,Annie Hall,PG,Comedy Romance,93,92
428,All the President's Men,PG,Biography Drama History,138,84
429,Jaws,PG,Adventure Thriller,124,87
430,Dog Day Afternoon,R,Biography Crime Drama,125,86
431,Young Frankenstein,PG,Comedy,106,80
432,Papillon,R,Biography Crime Drama,151,58
433,The Exorcist,R,Horror,122,81
435,The Last Picture Show,R,Drama Romance,118,93
436,Fiddler on the Roof,G,Drama Family Musical,181,67
437,The Conformist,R,Drama,113,100
438,Butch Cassidy and the Sundance Kid,PG,Biography Crime Drama,110,66
439,Rosemary's Baby,Not Rated,Drama Horror,137,96
440,Planet of the Apes,G,Adventure Sci-Fi,112,79
441,The Graduate,PG,Comedy Drama Romance,106,83
442,Who's Afraid of Virginia Woolf?,Not Rated,Drama,131,75
443,The Sound of Music,G,Biography Drama Family,172,63
444,Doctor Zhivago,PG-13,Drama Romance War,197,69
445,A Fistful of Dollars,R,Action Drama Western,99,65
446,8½,Not Rated,Drama,138,91
448,The Hustler,Not Rated,Drama Sport,134,90
449,The Sweet Life,Not Rated,Comedy Drama,174,95
450,Rio Bravo,Not Rated,Action Drama Western,141,93
451,Anatomy of a Murder,Not Rated,Crime Drama Mystery,161,95
452,Touch of Evil,PG-13,Crime Drama Film-Noir,95,99
453,Cat on a Hot Tin Roof,Not Rated,Drama,108,84
454,Sweet Smell of Success,Not Rated,Drama Film-Noir,96,100
455,The Killing,Not Rated,Crime Drama Film-Noir,84,91
456,The Night of the Hunter,Not Rated,Crime Drama Film-Noir,92,99
458,Stalag 17,Not Rated,Comedy Drama War,120,84
459,Roman Holiday,Not Rated,Comedy Romance,118,78
460,High Noon,PG,Drama Thriller Western,85,89
461,A Streetcar Named Desire,PG,Drama,122,97
462,Strangers on a Train,PG,Crime Film-Noir Thriller,101,88
465,Rope,Not Rated,Crime Drama Mystery,80,73
467,Notorious,Not Rated,Drama Film-Noir Romance,102,100
468,Brief Encounter,Not Rated,Drama Romance,86,92
471,The Maltese Falcon,Not Rated,Crime Film-Noir Mystery,100,96
472,The Wizard of Oz,PG,Adventure Family Fantasy,102,92
474,The Thin Man,TV-PG,Comedy Crime Mystery,91,86
475,Battleship Potemkin,Not Rated,Drama History Thriller,66,97
476,Knives Out,PG-13,Comedy Crime Drama,130,82
477,Shoplifters,R,Crime Drama,121,93
478,Marriage Story,R,Comedy Drama Romance,137,94
480,Call Me by Your Name,R,Drama Romance,132,93
481,"I, Daniel Blake",R,Drama,100,78
482,Isle of Dogs,PG-13,Animation Adventure Comedy,101,82
483,Hunt for the Wilderpeople,PG-13,Adventure Comedy Drama,101,81
485,Captain Fantastic,R,Comedy Drama,118,72
486,Sing Street,PG-13,Comedy Drama Music,106,79
487,Thor: Ragnarok,PG-13,Action Adventure Comedy,130,74
488,Jojo Rabbit,PG-13,Comedy Drama War,108,58
489,Arrival,PG-13,Drama Sci-Fi,116,81
490,Gully Boy,Not Rated,Drama Music Romance,154,65
491,Before Midnight,R,Drama Romance,109,94
492,X-Men: Days of Future Past,PG-13,Action Adventure Sci-Fi,132,75
493,Once Upon a Time in Anatolia,Not Rated,Crime Drama,157,82
494,Bohemian Rhapsody,PG-13,Biography Drama Music,134,49
495,The Perks of Being a Wallflower,PG-13,Drama Romance,103,67
496,The Artist,PG-13,Comedy Drama Romance,100,89
497,Edge of Tomorrow,PG-13,Action Adventure Sci-Fi,113,71
498,Amour,PG-13,Drama,127,94
499,A Prophet,R,Crime Drama,155,90
500,Let the Right One In,R,Crime Drama Fantasy,114,82
501,District 9,R,Action Sci-Fi Thriller,112,81
502,The Wrestler,R,Drama Sport,109,80
504,Boyhood,R,Drama,165,100
505,"4 Months, 3 Weeks and 2 Days",Not Rated,Drama,113,97
506,Star Trek,PG-13,Action Adventure Sci-Fi,127,82
507,In Bruges,R,Comedy Crime Drama,107,67
509,Letters from Iwo Jima,R,Action Adventure Drama,141,89
