,Name of movie,Description,Genre,Stars
233,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Adventure Drama Fantasy,8.1
234,Departures,A newly unemployed cellist takes a job preparing the dead for funerals.,Drama Music,8.1
235,Hachi: A Dog's Tale,A college professor bonds with an abandoned dog he takes into his home.,Biography Drama Family,8.1
236,Mary and Max,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Animation Comedy Drama,8.1
237,How to Train Your Dragon,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Animation Action Adventure,8.1
238,Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",Adventure Biography Drama,8.1
239,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,Crime Drama Thriller,8.1
240,"Carry On, Munna Bhai",Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Comedy Drama Romance,8.1
241,V for Vendetta,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",Action Drama Sci-Fi,8.1
242,Nobody Knows,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",Drama,8.1
243,Rang De Basanti,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",Comedy Crime Drama,8.1
244,Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.,Drama Sport,8.1
245,Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Biography Drama History,8.1
246,Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Drama Romance,8.1
247,Munna Bhai M.B.B.S.,A gangster sets out to fulfill his father's dream of becoming a doctor.,Comedy Drama,8.1
248,Memories of Murder,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Crime Drama Mystery,8.1
249,Dil Chahta Hai,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",Comedy Drama Romance,8.1
250,Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Action Crime Drama,8.1
251,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Animation Adventure Comedy,8.1
252,Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Biography Crime Drama,8.1
253,Love's a Bitch,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Drama Thriller,8.1
254,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Animation Adventure Comedy,8.1
255,Neon Genesis Evangelion: The End of Evangelion,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,Animation Action Drama,8.1
256,Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Drama Musical Sport,8.1
257,The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,Drama Mystery Thriller,8.1
258,The Celebration,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Drama,8.1
259,The Legend of 1900,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Drama Music Romance,8.1
260,The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,Comedy Drama,8.1
261,"Black Cat, White Cat",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Comedy Crime Romance,8.1
262,The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Comedy Crime Sport,8.1
263,In the Mood for Love,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Drama Romance,8.1
264,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,8.1
265,Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Crime Drama Thriller,8.1
266,Underground,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",Comedy Drama Fantasy,8.1
267,La Haine,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,Crime Drama,8.1
268,Dilwale Dulhania Le Jayenge,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Drama Romance,8.1
269,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Drama Romance,8.1
270,Three Colors: Red,A model discovers a retired judge is keen on invading people's privacy.,Drama Mystery Romance,8.1
271,Chungking Express,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",Comedy Crime Drama,8.1
272,Andaz Apna Apna,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Action Comedy Romance,8.1
273,Jurassic Park,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Action Adventure Sci-Fi,8.1
274,In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Biography Crime Drama,8.1
275,Farewell My Concubine,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Drama Music Romance,8.1
276,Raise the Red Lantern,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Drama History Romance,8.1
277,Dead Poets Society,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Comedy Drama,8.1
278,The Princess Bride,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Adventure Family Fantasy,8.1
279,Stand by Me,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Adventure Drama,8.1
280,Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Drama War,8.1
281,"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Drama,8.1
282,Nausicaä of the Valley of the Wind,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Animation Adventure Fantasy,8.1
283,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Horror Mystery Sci-Fi,8.1
284,Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",Adventure Drama,8.1
285,Fanny and Alexander,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Drama,8.1
286,Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Action Sci-Fi Thriller,8.1
287,The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",Biography Drama,8.1
288,Stalker,A guide leads two men through an area known as the Zone to find a room that grants wishes.,Drama Sci-Fi,8.1
289,Monty Python's Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,8.1
290,The Deer Hunter,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Drama War,8.1
291,Rocky,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Drama Sport,8.1
292,Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Drama,8.1
293,Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Adventure Drama History,8.1
294,Mirror,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Biography Drama,8.1
295,Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Comedy Crime Drama,8.1
296,Cries & Whispers,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",Drama,8.1
297,Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Drama Mystery Sci-Fi,8.1
298,Le Samouraï,After professional hitman Jef Costello is seen by witnesses his efforts to provide himself an alibi drive him further into a corner.,Crime Drama Mystery,8.1
299,Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Crime Drama,8.1
300,Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Drama Thriller,8.1
301,Andrei Rublev,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",Biography Drama History,8.1
302,The Battle of Algiers,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Drama War,8.1
303,The Exterminating Angel,The guests at an upper-class dinner party find themselves unable to leave.,Drama Fantasy,8.1
304,What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Drama Horror Thriller,8.1
305,Sanjuro,"A crafty samurai helps a young man and his fellow clansmen trying to save his uncle, who has been framed and imprisoned by a corrupt superintendent.",Action Comedy Crime,8.1
306,The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,Drama Western,8.1
307,Ivan's Childhood,"During WWII, Soviet orphan Ivan Bondarev strikes up a friendship with three sympathetic Soviet officers while working as a scout behind the German lines.",Drama War,8.1
308,The Virgin Spring,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",Drama,8.1
309,Inherit the Wind,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",Biography Drama History,8.1
310,The 400 Blows,"A young boy, left without attention, delves into a life of petty crime.",Crime Drama,8.1
311,Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",Adventure Drama History,8.1
312,The Hidden Fortress,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",Adventure Drama,8.1
313,Nights of Cabiria,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Drama,8.1
314,Throne of Blood,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Drama History,8.1
315,The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",Adventure Drama War,8.1
316,Rififi,"Four men plan a technically perfect crime, but the human element intervenes...",Crime Drama Thriller,8.1
317,On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Crime Drama Thriller,8.1
318,Diabolique,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,Crime Drama Horror,8.1
319,The Wages of Fear,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Adventure Drama Thriller,8.1
320,Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Drama Film-Noir,8.1
321,White Heat,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,Action Crime Drama,8.1
322,The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Film-Noir Mystery Thriller,8.1
323,The Red Shoes,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,Drama Music Romance,8.1
324,The Best Years of Our Lives,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,Drama Romance War,8.1
325,The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Comedy Drama Romance,8.1
326,Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Drama Mystery Romance,8.1
327,The Grapes of Wrath,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",Drama History,8.1
328,Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Comedy Drama,8.1
329,Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Drama History Romance,8.1
330,La Grande Illusion,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",Drama War,8.1
331,It Happened One Night,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Comedy Romance,8.1
332,All Quiet on the Western Front,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Drama War,8.1
333,The Passion of Joan of Arc,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",Biography Drama History,8.1
334,The Circus,The Tramp finds work and the girl of his dreams at a circus.,Comedy Romance,8.1
335,Sunrise,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.",Drama Romance,8.1
336,The General,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Action Adventure Comedy,8.1
337,The Cabinet of Dr. Caligari,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.",Fantasy Horror Mystery,8.1
338,Shang-Chi and the Legend of the Ten Rings,"Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",Action Adventure Fantasy,8.0
339,Badhaai Ho,A man is embarrassed when he finds out his mother is pregnant.,Comedy Drama,8.0
340,Togo,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",Adventure Biography Drama,8.0
341,Airlift,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Drama History,8.0
342,Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Action Adventure Comedy,8.0
343,Baby,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Action Thriller,8.0
344,La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Comedy Drama Music,8.0
345,Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Biography Drama,8.0
346,The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Adventure Drama Sci-Fi,8.0
347,Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Animation Adventure Comedy,8.0
348,Baahubali: The Beginning,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",Action Drama,8.0
349,The Tale of The Princess Kaguya,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Animation Adventure Drama,8.0
350,Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Drama Family,8.0
351,Special 26,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,Crime Drama Thriller,8.0
352,Short Term 12,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Drama,8.0
353,The Raid 2,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Action Crime Thriller,8.0
354,The Imitation Game,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",Biography Drama Thriller,8.0
355,Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Action Adventure Comedy,8.0
356,Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Action Drama Mystery,8.0
357,Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Drama Romance Sci-Fi,8.0
358,The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Action Adventure Drama,8.0
359,Elite Squad 2: The Enemy Within,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",Action Crime Drama,8.0
360,The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Biography Drama History,8.0
361,The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama,8.0
362,Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Action Adventure Comedy,8.0
363,Darbareye Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Drama Mystery,8.0
364,Dev.D,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",Comedy Drama Romance,8.0
365,Ip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Action Biography Drama,8.0
366,My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Drama,8.0
367,Nefes: Vatan Sagolsun,Story of 40-man Turkish task force who must defend a relay station.,Action Drama Thriller,8.0
368,Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Drama Romance,8.0
369,Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Drama Thriller,8.0
370,Elite Squad,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",Action Crime Drama,8.0
371,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Action Adventure Sci-Fi,8.0
372,Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Animation Biography Drama,8.0
373,Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Biography Drama,8.0
374,The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Biography Drama,8.0
375,Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Adventure Drama Thriller,8.0
376,The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Action Adventure Mystery,8.0
377,3-Iron,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,Crime Drama Romance,8.0
378,Sin City,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",Crime Thriller,8.0
379,The Diving Bell and the Butterfly,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,Biography Drama,8.0
380,Tae Guk Gi: The Brotherhood of War,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",Action Drama War,8.0
381,G.O.R.A.,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,Adventure Comedy Sci-Fi,8.0
382,Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Animation Adventure Comedy,8.0
383,Casino Royale,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Action Adventure Thriller,8.0
384,Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Action Crime Thriller,8.0
385,The Return,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Drama,8.0
386,"Spring, Summer, Fall, Winter... and Spring",A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,Drama Romance,8.0
387,The Sea Inside,"The factual story of Spaniard Ramon Sampedro, who fought a 28 year campaign in favour of euthanasia and his own right to die.",Biography Drama,8.0
388,Cinderella Man,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",Biography Drama History,8.0
389,Infernal Affairs,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Action Crime Drama,8.0
390,Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Action Adventure Fantasy,8.0
391,Big Fish,A frustrated son tries to determine the fact from fiction in his dying father's life.,Adventure Drama Fantasy,8.0
392,The Incredibles,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Animation Action Adventure,8.0
393,My Sassy Girl,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Comedy Drama Romance,8.0
394,Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Crime Drama,8.0
395,Vizontele,Lives of residents in a small Anatolian village change when television is introduced to them,Comedy Drama,8.0
396,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Drama Mystery Sci-Fi,8.0
397,Magnolia,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Drama,8.0
398,Dancer in the Dark,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Crime Drama Musical,8.0
399,The Straight Story,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,Biography Drama,8.0
400,Perfect Blue,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",Animation Crime Mystery,8.0
401,Central Station,"An emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.",Drama,8.0
402,The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Animation Action Adventure,8.0
403,Sling Blade,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Drama,8.0
404,Secrets & Lies,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Comedy Drama,8.0
405,12 Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Mystery Sci-Fi Thriller,8.0
406,Ghost in the Shell,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Animation Action Crime,8.0
407,The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Animation Family Fantasy,8.0
408,Groundhog Day,A weatherman finds himself inexplicably living the same day over and over again.,Comedy Fantasy Romance,8.0
409,"Blood In, Blood Out","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",Crime Drama,8.0
410,Scent of a Woman,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Drama,8.0
411,Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Animation Adventure Comedy,8.0
412,JFK,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Drama History Thriller,8.0
413,Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Animation Family Fantasy,8.0
414,Dances with Wolves,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Adventure Drama Western,8.0
415,Do the Right Thing,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Comedy Drama,8.0
416,Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Drama,8.0
417,Akira,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",Animation Action Drama,8.0
418,Wings of Desire,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,Drama Fantasy Romance,8.0
419,Au Revoir les Enfants,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",Drama War,8.0
420,Castle in the Sky,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Animation Adventure Drama,8.0
421,The Sacrifice,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.",Drama,8.0
422,The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",Action Sci-Fi,8.0
423,Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,Drama Fantasy Music,8.0
424,Gandhi,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Biography Drama History,8.0
425,Kagemusha,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,Drama History War,8.0
426,Being There,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",Comedy Drama,8.0
