,Year of relase,Rating,Genre,Watchtime,Stars
235,2009,G,Biography Drama Family,93,8.1
236,2009,Not Rated,Animation Comedy Drama,92,8.1
237,2010,PG,Animation Action Adventure,98,8.1
238,2007,R,Adventure Biography Drama,148,8.1
239,2007,R,Crime Drama Thriller,122,8.1
240,2006,Not Rated,Comedy Drama Romance,144,8.1
241,2005,R,Action Drama Sci-Fi,132,8.1
242,2004,PG-13,Drama,141,8.1
243,2006,Not Rated,Comedy Crime Drama,167,8.1
244,2004,PG-13,Drama Sport,132,8.1
245,2004,PG-13,Biography Drama History,121,8.1
246,2004,R,Drama Romance,80,8.1
247,2003,Not Rated,Comedy Drama,156,8.1
248,2003,Not Rated,Crime Drama Mystery,132,8.1
249,2001,Not Rated,Comedy Drama Romance,183,8.1
250,2003,R,Action Crime Drama,111,8.1
251,2003,G,Animation Adventure Comedy,100,8.1
252,2002,PG-13,Biography Crime Drama,141,8.1
253,2000,R,Drama Thriller,154,8.1
254,2001,G,Animation Adventure Comedy,92,8.1
255,1997,TV-MA,Animation Action Drama,87,8.1
256,2001,PG,Drama Musical Sport,224,8.1
257,1999,PG-13,Drama Mystery Thriller,107,8.1
258,1998,R,Drama,105,8.1
259,1998,R,Drama Music Romance,169,8.1
260,1998,PG,Comedy Drama,103,8.1
261,1998,R,Comedy Crime Romance,127,8.1
262,1998,R,Comedy Crime Sport,117,8.1
263,2000,PG,Drama Romance,98,8.1
264,1996,R,Drama,93,8.1
265,1996,R,Crime Drama Thriller,98,8.1
266,1995,Not Rated,Comedy Drama Fantasy,167,8.1
267,1995,Not Rated,Crime Drama,98,8.1
268,1995,Not Rated,Drama Romance,181,8.1
269,1995,R,Drama Romance,101,8.1
270,1994,R,Drama Mystery Romance,99,8.1
271,1994,PG-13,Comedy Crime Drama,102,8.1
272,1994,Not Rated,Action Comedy Romance,160,8.1
273,1993,PG-13,Action Adventure Sci-Fi,127,8.1
274,1993,R,Biography Crime Drama,133,8.1
275,1993,R,Drama Music Romance,171,8.1
276,1991,PG,Drama History Romance,125,8.1
277,1989,PG,Comedy Drama,128,8.1
278,1987,PG,Adventure Family Fantasy,98,8.1
279,1986,R,Adventure Drama,89,8.1
280,1986,R,Drama War,120,8.1
281,1984,R,Drama,145,8.1
282,1984,PG,Animation Adventure Fantasy,117,8.1
283,1982,R,Horror Mystery Sci-Fi,109,8.1
284,1982,PG,Adventure Drama,158,8.1
285,1982,R,Drama,188,8.1
286,1982,R,Action Sci-Fi Thriller,117,8.1
287,1980,PG,Biography Drama,124,8.1
288,1979,Not Rated,Drama Sci-Fi,162,8.1
289,1979,R,Comedy,94,8.1
290,1978,R,Drama War,183,8.1
291,1976,PG,Drama Sport,120,8.1
292,1976,R,Drama,121,8.1
293,1975,PG,Adventure Drama History,185,8.1
294,1975,Not Rated,Biography Drama,107,8.1
295,1973,PG,Comedy Crime Drama,102,8.1
296,1972,R,Drama,91,8.1
297,1972,PG,Drama Mystery Sci-Fi,167,8.1
298,1967,GP,Crime Drama Mystery,101,8.1
299,1967,GP,Crime Drama,127,8.1
300,1966,Not Rated,Drama Thriller,83,8.1
301,1966,R,Biography Drama History,205,8.1
302,1966,Not Rated,Drama War,121,8.1
303,1962,Not Rated,Drama Fantasy,95,8.1
304,1962,Not Rated,Drama Horror Thriller,134,8.1
305,1962,Not Rated,Action Comedy Crime,96,8.1
306,1962,Not Rated,Drama Western,123,8.1
307,1962,Not Rated,Drama War,95,8.1
308,1960,Not Rated,Drama,89,8.1
309,1960,Not Rated,Biography Drama History,128,8.1
310,1959,Not Rated,Crime Drama,99,8.1
311,1959,G,Adventure Drama History,212,8.1
312,1958,Not Rated,Adventure Drama,126,8.1
313,1957,Not Rated,Drama,110,8.1
314,1957,Not Rated,Drama History,110,8.1
315,1957,PG,Adventure Drama War,161,8.1
316,1955,Not Rated,Crime Drama Thriller,118,8.1
317,1954,Not Rated,Crime Drama Thriller,108,8.1
318,1955,Not Rated,Crime Drama Horror,117,8.1
319,1953,Not Rated,Adventure Drama Thriller,131,8.1
320,1951,Not Rated,Drama Film-Noir,111,8.1
321,1949,Not Rated,Action Crime Drama,114,8.1
322,1949,Not Rated,Film-Noir Mystery Thriller,93,8.1
323,1948,Not Rated,Drama Music Romance,135,8.1
324,1946,Not Rated,Drama Romance War,170,8.1
325,1940,Not Rated,Comedy Drama Romance,99,8.1
326,1940,Not Rated,Drama Mystery Romance,130,8.1
327,1940,Not Rated,Drama History,129,8.1
328,1939,Not Rated,Comedy Drama,129,8.1
329,1939,Not Rated,Drama History Romance,238,8.1
330,1937,Not Rated,Drama War,113,8.1
331,1934,Not Rated,Comedy Romance,105,8.1
332,1930,Not Rated,Drama War,152,8.1
333,1928,Not Rated,Biography Drama History,114,8.1
334,1928,Not Rated,Comedy Romance,72,8.1
335,1927,Not Rated,Drama Romance,94,8.1
336,1926,Not Rated,Action Adventure Comedy,67,8.1
337,1920,Not Rated,Fantasy Horror Mystery,67,8.1
338,2021,PG-13,Action Adventure Fantasy,132,8.0
339,2018,Not Rated,Comedy Drama,124,8.0
340,2019,PG,Adventure Biography Drama,113,8.0
341,2016,Not Rated,Drama History,130,8.0
342,2015,Not Rated,Action Adventure Comedy,163,8.0
343,I 2015,Not Rated,Action Thriller,159,8.0
344,2016,PG-13,Comedy Drama Music,128,8.0
345,2016,PG-13,Biography Drama,118,8.0
346,2015,PG-13,Adventure Drama Sci-Fi,144,8.0
347,2016,PG,Animation Adventure Comedy,108,8.0
348,2015,Not Rated,Action Drama,159,8.0
349,2013,PG,Animation Adventure Drama,137,8.0
350,I 2017,PG,Drama Family,113,8.0
351,2013,Not Rated,Crime Drama Thriller,144,8.0
352,2013,R,Drama,96,8.0
353,2014,R,Action Crime Thriller,150,8.0
354,2014,PG-13,Biography Drama Thriller,114,8.0
355,2014,PG-13,Action Adventure Comedy,121,8.0
356,2017,R,Action Drama Mystery,164,8.0
357,2013,R,Drama Romance Sci-Fi,126,8.0
358,2015,R,Action Adventure Drama,156,8.0
359,2010,Not Rated,Action Crime Drama,115,8.0
360,2010,R,Biography Drama History,118,8.0
361,2011,PG-13,Drama,146,8.0
362,2016,R,Action Adventure Comedy,108,8.0
363,2009,TV-PG,Drama Mystery,119,8.0
364,2009,Not Rated,Comedy Drama Romance,144,8.0
365,2008,R,Action Biography Drama,106,8.0
366,2010,PG-13,Drama,165,8.0
367,2009,Not Rated,Action Drama Thriller,128,8.0
368,2008,R,Drama Romance,120,8.0
369,2010,R,Drama Thriller,108,8.0
370,2007,R,Action Crime Drama,115,8.0
371,2012,PG-13,Action Adventure Sci-Fi,143,8.0
372,2007,PG-13,Animation Biography Drama,96,8.0
373,2013,R,Biography Drama,117,8.0
374,2006,PG-13,Biography Drama,117,8.0
375,2006,R,Adventure Drama Thriller,143,8.0
376,2007,PG-13,Action Adventure Mystery,115,8.0
377,2004,R,Crime Drama Romance,88,8.0
378,2005,R,Crime Thriller,124,8.0
379,2007,PG-13,Biography Drama,112,8.0
380,2004,R,Action Drama War,140,8.0
381,2004,Not Rated,Adventure Comedy Sci-Fi,127,8.0
382,2007,G,Animation Adventure Comedy,111,8.0
383,2006,PG-13,Action Adventure Thriller,144,8.0
384,2004,R,Action Crime Thriller,137,8.0
385,2003,Not Rated,Drama,110,8.0
386,2003,R,Drama Romance,103,8.0
387,I 2004,PG-13,Biography Drama,126,8.0
388,2005,PG-13,Biography Drama History,144,8.0
389,2002,R,Action Crime Drama,101,8.0
390,2003,PG-13,Action Adventure Fantasy,143,8.0
391,2003,PG-13,Adventure Drama Fantasy,125,8.0
392,2004,PG,Animation Action Adventure,115,8.0
393,2001,Not Rated,Comedy Drama Romance,137,8.0
394,2003,R,Crime Drama,178,8.0
395,2001,Not Rated,Comedy Drama,110,8.0
396,2001,R,Drama Mystery Sci-Fi,113,8.0
397,1999,R,Drama,188,8.0
398,2000,R,Crime Drama Musical,140,8.0
399,1999,G,Biography Drama,112,8.0
400,1997,R,Animation Crime Mystery,81,8.0
401,1998,R,Drama,110,8.0
402,1999,PG,Animation Action Adventure,86,8.0
403,1996,R,Drama,135,8.0
404,1996,R,Comedy Drama,136,8.0
405,1995,R,Mystery Sci-Fi Thriller,129,8.0
406,1995,TV-MA,Animation Action Crime,83,8.0
407,1993,PG,Animation Family Fantasy,76,8.0
408,1993,PG,Comedy Fantasy Romance,101,8.0
409,1993,R,Crime Drama,180,8.0
410,1992,R,Drama,156,8.0
411,1992,G,Animation Adventure Comedy,90,8.0
412,1991,R,Drama History Thriller,189,8.0
413,1991,G,Animation Family Fantasy,84,8.0
414,1990,PG-13,Adventure Drama Western,181,8.0
415,1989,R,Comedy Drama,120,8.0
416,1988,R,Drama,133,8.0
417,1988,R,Animation Action Drama,124,8.0
418,1987,PG-13,Drama Fantasy Romance,128,8.0
419,1987,PG,Drama War,104,8.0
420,1986,PG,Animation Adventure Drama,125,8.0
421,1986,PG,Drama,149,8.0
422,1984,R,Action Sci-Fi,107,8.0
423,1982,R,Drama Fantasy Music,95,8.0
424,1982,PG,Biography Drama History,191,8.0
425,1980,PG,Drama History War,162,8.0
426,1979,PG,Comedy Drama,130,8.0
427,1977,PG,Comedy Romance,93,8.0
428,1976,PG,Biography Drama History,138,8.0
429,1975,PG,Adventure Thriller,124,8.0
430,1975,R,Biography Crime Drama,125,8.0
431,1974,PG,Comedy,106,8.0
432,1973,R,Biography Crime Drama,151,8.0
433,1973,R,Horror,122,8.0
434,1972,PG,Mystery Thriller,138,8.0
435,1971,R,Drama Romance,118,8.0
436,1971,G,Drama Family Musical,181,8.0
437,1970,R,Drama,113,8.0
438,1969,PG,Biography Crime Drama,110,8.0
439,1968,Not Rated,Drama Horror,137,8.0
440,1968,G,Adventure Sci-Fi,112,8.0
441,1967,PG,Comedy Drama Romance,106,8.0
442,1966,Not Rated,Drama,131,8.0
443,1965,G,Biography Drama Family,172,8.0
444,1965,PG-13,Drama Romance War,197,8.0
445,1964,R,Action Drama Western,99,8.0
446,1963,Not Rated,Drama,138,8.0
447,1962,Not Rated,Drama,85,8.0
448,1961,Not Rated,Drama Sport,134,8.0
449,1960,Not Rated,Comedy Drama,174,8.0
450,1959,Not Rated,Action Drama Western,141,8.0
451,1959,Not Rated,Crime Drama Mystery,161,8.0
452,1958,PG-13,Crime Drama Film-Noir,95,8.0
453,1958,Not Rated,Drama,108,8.0
454,1957,Not Rated,Drama Film-Noir,96,8.0
455,1956,Not Rated,Crime Drama Film-Noir,84,8.0
456,1955,Not Rated,Crime Drama Film-Noir,92,8.0
457,1954,Not Rated,Drama,108,8.0
458,1953,Not Rated,Comedy Drama War,120,8.0
459,1953,Not Rated,Comedy Romance,118,8.0
460,1952,PG,Drama Thriller Western,85,8.0
461,1951,PG,Drama,122,8.0
462,1951,PG,Crime Film-Noir Thriller,101,8.0
463,1950,Not Rated,Drama Film-Noir Mystery,94,8.0
464,1949,Not Rated,Comedy Crime,106,8.0
465,1948,Not Rated,Crime Drama Mystery,80,8.0
466,1947,Not Rated,Crime Drama Film-Noir,97,8.0
467,1946,Not Rated,Drama Film-Noir Romance,102,8.0
468,1945,Not Rated,Drama Romance,86,8.0
469,1944,Not Rated,Drama Film-Noir Mystery,88,8.0
470,1943,Not Rated,Comedy Crime Thriller,118,8.0
471,1941,Not Rated,Crime Film-Noir Mystery,100,8.0
472,1939,PG,Adventure Family Fantasy,102,8.0
473,1939,Not Rated,Comedy Drama,110,8.0
474,1934,TV-PG,Comedy Crime Mystery,91,8.0
475,1925,Not Rated,Drama History Thriller,66,8.0
476,2019,PG-13,Comedy Crime Drama,130,7.9
477,2018,R,Crime Drama,121,7.9
478,2019,R,Comedy Drama Romance,137,7.9
479,2017,Not Rated,Comedy Drama,132,7.9
480,2017,R,Drama Romance,132,7.9
481,2016,R,Drama,100,7.9
482,2018,PG-13,Animation Adventure Comedy,101,7.9
483,2016,PG-13,Adventure Comedy Drama,101,7.9
484,2016,Not Rated,Biography Drama Sport,184,7.9
485,2016,R,Comedy Drama,118,7.9
486,2016,PG-13,Comedy Drama Music,106,7.9
487,2017,PG-13,Action Adventure Comedy,130,7.9
488,2019,PG-13,Comedy Drama War,108,7.9
489,II 2016,PG-13,Drama Sci-Fi,116,7.9
490,2019,Not Rated,Drama Music Romance,154,7.9
491,2013,R,Drama Romance,109,7.9
492,2014,PG-13,Action Adventure Sci-Fi,132,7.9
493,2011,Not Rated,Crime Drama,157,7.9
494,2018,PG-13,Biography Drama Music,134,7.9
495,2012,PG-13,Drama Romance,103,7.9
496,I 2011,PG-13,Comedy Drama Romance,100,7.9
497,2014,PG-13,Action Adventure Sci-Fi,113,7.9
498,2012,PG-13,Drama,127,7.9
499,2009,R,Crime Drama,155,7.9
500,2008,R,Crime Drama Fantasy,114,7.9
501,2009,R,Action Sci-Fi Thriller,112,7.9
502,2008,R,Drama Sport,109,7.9
503,2007,Not Rated,Comedy Drama Romance,138,7.9
504,I 2014,R,Drama,165,7.9
505,2007,Not Rated,Drama,113,7.9
506,2009,PG-13,Action Adventure Sci-Fi,127,7.9
507,2008,R,Comedy Crime Drama,107,7.9
508,2007,Not Rated,Drama Fantasy Mystery,87,7.9
509,2006,R,Action Adventure Drama,141,7.9
510,2012,PG,Adventure Drama Fantasy,127,7.9
511,2009,PG,Animation Adventure Comedy,87,7.9
512,2005,Not Rated,Comedy Drama,129,7.9
513,2004,PG-13,Comedy Drama Music,97,7.9
514,2008,PG-13,Action Adventure Sci-Fi,126,7.9
515,2004,R,Comedy Horror,99,7.9
516,2003,Not Rated,Comedy Drama Musical,186,7.9
517,2004,R,Drama Romance,121,7.9
518,2003,R,Crime Drama Mystery,138,7.9
519,2004,PG,Adventure Family Fantasy,142,7.9
520,2002,PG-13,Action Adventure History,120,7.9
521,2001,PG,Animation Drama Fantasy,87,7.9
522,2002,R,Drama Mystery Romance,112,7.9
523,I 2001,R,Comedy Drama War,98,7.9
524,2001,TV-14,Animation Action Crime,115,7.9
525,2002,PG-13,Action Mystery Thriller,119,7.9
526,2000,R,Crime Drama Thriller,114,7.9
527,2006,R,Action Sci-Fi Thriller,109,7.9
528,1999,R,Drama,101,7.9
529,2000,R,Adventure Comedy Drama,122,7.9
530,2001,R,Drama Mystery Thriller,147,7.9
531,2001,PG,Animation Adventure Comedy,90,7.9
532,1999,G,Animation Adventure Comedy,92,7.9
533,1997,Not Rated,Action Crime Comedy,87,7.9
534,1997,R,Drama,155,7.9
535,1995,G,Animation Drama Family,111,7.9
536,1994,R,Crime Drama,102,7.9
537,1993,R,Crime Drama Romance,119,7.9
538,1993,R,Drama Music Mystery,94,7.9
539,1993,Not Rated,Animation Action Adventure,94,7.9
540,1993,R,Crime Drama Thriller,144,7.9
541,1990,PG-13,Drama Fantasy Romance,105,7.9
542,1989,R,Biography Drama,103,7.9
543,1989,G,Animation Adventure Drama,103,7.9
544,1989,PG-13,Comedy Drama,104,7.9
545,1987,R,Crime Drama Thriller,119,7.9
546,1986,PG-13,Comedy Drama,107,7.9
547,1985,R,Drama Sci-Fi,132,7.9
548,1984,R,Comedy Music,82,7.9
549,1983,PG,Comedy Family,93,7.9
550,1980,R,Action Adventure Comedy,133,7.9
551,1979,R,Comedy Drama Romance,96,7.9
552,1979,R,Drama Music Musical,123,7.9
553,1978,Not Rated,Horror Thriller,127,7.9
554,1973,R,Adventure Drama Fantasy,114,7.9
555,1973,R,Comedy Drama,123,7.9
556,1972,PG,Comedy,102,7.9
557,1972,Not Rated,Action Adventure Biography,95,7.9
558,1971,PG,Comedy Drama Romance,91,7.9
559,1970,GP,Biography Drama War,172,7.9
560,1969,R,Action Adventure Western,135,7.9
561,1968,Not Rated,Horror Thriller,96,7.9
562,1968,PG,Biography Drama History,134,7.9
563,1967,Not Rated,Crime Drama Mystery,110,7.9
564,1963,Not Rated,Comedy Mystery Romance,113,7.9
565,1962,PG-13,Drama Thriller,126,7.9
566,1960,PG-13,Adventure Biography Drama,197,7.9
567,1960,Not Rated,Drama Mystery Romance,144,7.9
568,1959,Not Rated,Drama Romance,90,7.9
569,1956,G,Adventure Drama,220,7.9
570,1956,Not Rated,Adventure Drama Western,119,7.9
571,1955,PG,Drama,118,7.9
572,1950,Not Rated,Comedy Drama Fantasy,104,7.9
573,1947,Not Rated,Comedy Drama Family,96,7.9
574,1946,Not Rated,Crime Film-Noir Mystery,114,7.9
575,1945,Not Rated,Drama Film-Noir,101,7.9
576,1940,Not Rated,Comedy Romance,112,7.9
577,1940,Not Rated,Comedy Drama Romance,92,7.9
578,1939,Not Rated,Adventure Drama Western,96,7.9
579,1938,Not Rated,Comedy Family Romance,102,7.9
580,1938,PG,Action Adventure Romance,102,7.9
581,1935,Not Rated,Comedy Music Musical,96,7.9
582,1933,Not Rated,Adventure Horror Sci-Fi,100,7.9
583,1932,Not Rated,Drama Horror,64,7.9
584,1922,Not Rated,Fantasy Horror,94,7.9
585,2019,R,Action Comedy Crime,113,7.8
586,2019,Not Rated,Crime Drama Mystery,118,7.8
587,2018,Not Rated,Action Drama Thriller,138,7.8
588,2019,R,Drama Music,120,7.8
589,2017,PG-13,Action Drama History,106,7.8
590,2016,Not Rated,Comedy Drama,96,7.8
591,2016,PG,Biography Drama History,127,7.8
592,2017,PG,Animation Adventure Comedy,103,7.8
593,2016,Not Rated,Action Crime Drama,148,7.8
594,2016,PG,Animation Action Adventure,101,7.8
595,2016,R,Drama,137,7.8
596,2015,R,Drama History War,100,7.8
597,2016,PG-13,Action Adventure Sci-Fi,133,7.8
598,2016,PG-13,Action Adventure Sci-Fi,147,7.8
599,2015,R,Crime Drama Mystery,168,7.8
600,2019,PG,Drama Romance,135,7.8
601,2017,PG-13,Animation Biography Crime,94,7.8
602,I 2014,R,Biography Comedy Drama,119,7.8
603,2014,R,Crime Drama Thriller,117,7.8
604,2015,PG-13,Action Adventure Sci-Fi,138,7.8
605,2013,Not Rated,Drama,141,7.8
606,2013,PG,Drama Romance,104,7.8
607,2012,Not Rated,Comedy Romance,126,7.8
608,2014,PG,Animation Action Adventure,102,7.8
609,2013,Not Rated,Drama Sport,120,7.8
610,I 2013,R,Comedy Drama Fantasy,123,7.8
611,2012,Not Rated,Comedy Drama Family,134,7.8
612,2013,PG-13,Animation Biography Drama,126,7.8
613,2013,R,Crime Drama Mystery,131,7.8
614,2012,PG-13,Comedy Drama Romance,94,7.8
615,2014,PG,Animation Action Adventure,102,7.8
616,2015,R,Biography Comedy Drama,130,7.8
617,2010,Not Rated,Action Crime Drama,144,7.8
618,2011,R,Crime Drama Mystery,158,7.8
619,2013,PG-13,Adventure Biography Crime,134,7.8
620,2010,R,Action Crime Drama,119,7.8
621,2015,R,Biography Drama History,147,7.8
622,2019,R,Biography Crime Drama,209,7.8
623,2009,R,Crime Drama Mystery,129,7.8
624,2008,Not Rated,Action Crime Thriller,125,7.8
625,2009,R,Drama Mystery Sci-Fi,97,7.8
626,2013,PG-13,Adventure Fantasy,161,7.8
627,2009,R,Drama History Mystery,144,7.8
628,2009,R,Crime Drama Mystery,152,7.8
629,2020,R,Drama History Thriller,129,7.8
630,2020,Not Rated,Comedy Drama,117,7.8
631,I 2010,R,Biography Drama Sport,116,7.8
632,I 2008,PG-13,Action Crime Thriller,90,7.8
633,2008,PG-13,Drama History War,94,7.8
634,I 2007,R,Drama Music Romance,86,7.8
635,2012,PG-13,Adventure Fantasy,169,7.8
636,2007,Not Rated,Drama,122,7.8
637,2007,R,Drama Mystery Romance,123,7.8
638,I 2011,R,Crime Drama,100,7.8
639,2007,R,Biography Crime Drama,157,7.8
640,2009,PG-13,Action Adventure Fantasy,162,7.8
641,2009,R,Drama Fantasy Romance,141,7.8
642,2006,R,Action Adventure Drama,139,7.8
643,2006,R,Adventure Drama Fantasy,117,7.8
644,2006,R,Comedy Drama,101,7.8
645,2007,R,Action Comedy Mystery,121,7.8
646,2008,PG-13,Drama Fantasy Romance,166,7.8
647,2004,Not Rated,Drama Family Musical,192,7.8
648,2005,R,Comedy Crime Drama,94,7.8
649,2005,PG,Drama Romance,129,7.8
650,2005,PG-13,Biography Drama Sport,127,7.8
651,2003,PG-13,Animation Adventure Comedy,92,7.8
652,2005,PG-13,Action Adventure Sci-Fi,119,7.8
653,2005,PG-13,Biography Drama Music,136,7.8
654,2003,Not Rated,Drama,113,7.8
655,2004,PG-13,Drama Romance,123,7.8
656,2004,R,Adventure Biography Drama,126,7.8
657,2002,R,Crime Drama,109,7.8
658,2003,PG-13,Animation Comedy Drama,80,7.8
659,2000,Not Rated,Action Drama Thriller,110,7.8
660,2001,R,Animation Drama Fantasy,99,7.8
661,2000,PG,Biography Drama Sport,113,7.8
662,2000,PG-13,Action Adventure Fantasy,120,7.8
663,2000,PG-13,Adventure Drama Romance,143,7.8
