,Year of relase,Rating,Genre,Watchtime,Stars
795,2005,PG-13,Adventure Family Fantasy,157,7.7
796,2004,R,Action Crime Drama,146,7.7
797,2009,PG,Animation Drama Family,100,7.7
798,2003,R,Action Drama,154,7.7
799,2002,R,Drama,114,7.7
800,2004,PG,Biography Drama Family,106,7.7
801,2003,R,Comedy Drama Romance,121,7.7
802,2002,PG-13,Drama,105,7.7
803,2002,R,Comedy Drama,115,7.7
804,2001,R,Drama History War,144,7.7
805,2002,R,Crime Drama Thriller,117,7.7
806,2001,R,Drama Thriller,120,7.7
807,2000,R,Drama Music,110,7.7
808,2001,R,Comedy Drama Music,95,7.7
809,2002,PG-13,Action Adventure Drama,131,7.7
810,2001,PG-13,Crime Thriller,116,7.7
811,2000,R,Animation Action Fantasy,103,7.7
812,2000,PG-13,Adventure Comedy Crime,107,7.7
813,2002,R,Adventure Comedy Drama,116,7.7
814,1999,R,Animation Comedy Fantasy,81,7.7
815,1999,R,Comedy,89,7.7
816,1998,Not Rated,Comedy Drama,134,7.7
817,1999,R,Action Crime Thriller,108,7.7
818,2001,R,Crime Drama Thriller,122,7.7
819,1998,R,Crime Drama Thriller,80,7.7
820,1998,R,Comedy Drama Romance,93,7.7
821,1997,R,Drama Mystery Sci-Fi,119,7.7
822,1999,R,Comedy Drama Fantasy,113,7.7
823,1997,PG-13,Comedy Drama Romance,139,7.7
824,1997,R,Drama Mystery Thriller,129,7.7
825,1997,PG-13,Action Adventure Sci-Fi,126,7.7
826,1998,PG-13,Comedy,80,7.7
827,1997,R,Biography Crime Drama,127,7.7
828,1997,Not Rated,Drama Romance,96,7.7
829,1996,PG-13,Biography Drama Music,105,7.7
830,1996,R,Crime Drama Mystery,129,7.7
831,1996,PG-13,Drama,242,7.7
832,1995,PG,Drama Romance,136,7.7
833,1995,G,Drama Family Fantasy,97,7.7
834,1995,Not Rated,Comedy Crime Drama,99,7.7
835,1994,PG,Biography Comedy Drama,108,7.7
836,1994,R,Comedy,92,7.7
837,1993,PG-13,Drama,118,7.7
838,1993,R,Comedy Drama,188,7.7
839,1993,PG-13,Drama,125,7.7
840,1992,G,Comedy Drama Family,85,7.7
841,1992,PG-13,Biography Drama History,202,7.7
842,1992,R,Action Adventure Drama,112,7.7
843,1992,PG,Animation Adventure Comedy,94,7.7
844,1992,R,Crime Drama Mystery,100,7.7
845,1992,R,Drama Thriller,138,7.7
846,1991,R,Comedy Drama,129,7.7
847,1991,PG-13,Drama,130,7.7
848,1991,R,Comedy Drama Thriller,116,7.7
849,1990,R,Crime Drama Thriller,115,7.7
850,1988,PG,Animation Adventure Comedy,104,7.7
851,1988,Not Rated,Mystery Thriller,107,7.7
852,1987,PG-13,Biography Drama History,163,7.7
853,1987,R,Comedy Horror,84,7.7
854,1987,PG,Action Drama History,153,7.7
855,1986,R,Crime Drama Mystery,130,7.7
856,1986,R,Comedy Crime Drama,107,7.7
857,1986,R,Drama Mystery Thriller,120,7.7
858,1985,PG,Comedy Fantasy Romance,82,7.7
859,I 1985,R,Comedy Crime Drama,97,7.7
860,1983,PG,Comedy,79,7.7
861,1982,R,Drama,129,7.7
862,1982,PG,Action Adventure Sci-Fi,113,7.7
863,1982,R,Action Adventure,93,7.7
864,1980,R,Drama,124,7.7
865,1980,PG,Comedy,88,7.7
866,1978,R,Horror Thriller,91,7.7
867,1976,R,Drama Thriller,126,7.7
868,1975,PG,Comedy War,85,7.7
869,1974,R,Action Crime Thriller,104,7.7
870,1974,R,Comedy Western,93,7.7
871,1973,R,Biography Crime Drama,130,7.7
872,1973,R,Action Crime Drama,102,7.7
873,1972,R,Adventure Drama Thriller,109,7.7
874,1971,R,Action Crime Drama,104,7.7
875,1971,R,Action Crime Thriller,102,7.7
876,1968,G,Comedy,105,7.7
877,1967,Not Rated,Action Adventure War,150,7.7
878,1967,R,Drama Romance,100,7.7
879,1966,G,Biography Drama History,120,7.7
880,1965,Not Rated,Drama Horror Thriller,105,7.7
881,1964,Not Rated,Drama History War,138,7.7
882,1964,PG,Action Adventure Thriller,110,7.7
883,1963,PG-13,Drama Horror Mystery,119,7.7
884,1962,Not Rated,Drama Thriller,106,7.7
885,1960,Not Rated,Drama Horror Thriller,101,7.7
886,1960,Not Rated,Action Adventure Western,128,7.7
887,1960,Not Rated,Drama Horror,90,7.7
888,1956,Not Rated,Drama Horror Sci-Fi,80,7.7
889,1955,PG-13,Drama,111,7.7
890,1955,Not Rated,Comedy Crime,91,7.7
891,1954,Not Rated,Comedy Drama Romance,113,7.7
892,1954,Not Rated,Drama War,124,7.7
893,1951,G,Drama Sci-Fi,92,7.7
894,1940,G,Animation Family Fantasy,125,7.7
895,1933,TV-PG,Horror Sci-Fi,71,7.7
896,2019,PG-13,Biography Drama History,126,7.6
897,III 2018,PG-13,Drama Mystery Thriller,102,7.6
898,2019,R,Comedy Drama,161,7.6
899,2017,R,Drama,127,7.6
900,2016,Not Rated,Action Horror Thriller,118,7.6
901,2017,R,Drama,111,7.6
902,2019,PG-13,Biography Crime Drama,137,7.6
903,2017,PG-13,Drama,101,7.6
904,2019,PG-13,Adventure Comedy Drama,97,7.6
905,II 2015,Not Rated,Crime Drama Romance,138,7.6
906,2017,PG-13,Action Adventure Comedy,136,7.6
907,2017,R,Action Crime Drama,113,7.6
908,2017,PG-13,Action Biography Drama,134,7.6
909,2018,PG,Animation Action Adventure,118,7.6
910,I 2016,PG,Animation Adventure Comedy,107,7.6
911,2015,R,Action Crime Drama,121,7.6
912,II 2015,PG-13,Drama Sport,133,7.6
913,2014,R,Crime Drama,140,7.6
914,II 2016,R,Action Crime Drama,102,7.6
915,2013,PG-13,Biography Comedy Drama,98,7.6
916,2012,Not Rated,Mystery Thriller,112,7.6
917,2011,R,Action Thriller,101,7.6
918,2012,R,Action Adventure Crime,109,7.6
919,2018,R,Drama Music Romance,136,7.6
920,2010,PG-13,Drama Western,110,7.6
921,2010,R,Drama Romance,118,7.6
922,2010,PG,Animation Adventure Comedy,95,7.6
923,2011,R,Comedy Drama Romance,100,7.6
924,2009,Not Rated,Action Adventure Crime,113,7.6
925,2011,PG-13,Biography Drama Sport,133,7.6
926,2011,R,Drama Horror Thriller,120,7.6
927,2009,R,Adventure Comedy Fantasy,88,7.6
928,2008,Not Rated,Drama Thriller,107,7.6
929,2009,PG-13,Action Adventure Mystery,128,7.6
930,2009,PG-13,Biography Drama Sport,129,7.6
931,I 2007,PG-13,Drama,104,7.6
932,2008,PG-13,Drama,123,7.6
933,2007,R,Action Crime Drama,100,7.6
934,2006,Not Rated,Crime Drama Fantasy,126,7.6
935,2007,PG-13,Adventure Family Fantasy,127,7.6
936,2009,Not Rated,Animation Adventure Family,75,7.6
937,2006,R,Crime Drama Mystery,129,7.6
938,2007,R,Crime Drama Mystery,114,7.6
939,2007,PG-13,Biography Drama Music,140,7.6
940,2004,Not Rated,Crime Drama Thriller,90,7.6
941,2009,PG,Action Adventure Family,153,7.6
942,2006,R,Action Drama,117,7.6
943,2005,R,Drama Romance Thriller,124,7.6
944,2009,R,Action Drama Mystery,162,7.6
945,2004,R,Horror Mystery Thriller,103,7.6
946,2004,Not Rated,Drama,105,7.6
947,2004,R,Drama Mystery Romance,133,7.6
948,2003,R,Comedy Drama,89,7.6
949,2003,R,Crime Drama Thriller,124,7.6
950,2002,R,Crime Drama Thriller,129,7.6
951,2002,R,Drama,135,7.6
952,2004,R,Drama Sci-Fi Thriller,113,7.6
953,2001,PG-13,Drama,132,7.6
954,2000,Not Rated,Action Adventure Drama,114,7.6
955,2001,R,Comedy Drama,110,7.6
956,2001,R,Drama,106,7.6
957,2001,PG,Adventure Family Fantasy,152,7.6
958,2001,PG-13,Horror Mystery Thriller,104,7.6
959,2002,PG-13,Action Crime Mystery,145,7.6
960,2000,R,Comedy Crime Drama,101,7.6
961,1998,R,Drama History War,170,7.6
962,1998,G,Animation Adventure Drama,88,7.6
963,1998,R,Adventure Comedy Drama,118,7.6
964,1998,R,Fantasy Mystery Sci-Fi,100,7.6
965,1997,R,Mystery Thriller,134,7.6
966,1995,R,Action Adventure Thriller,128,7.6
967,1995,PG-13,Drama Romance,135,7.6
968,I 1995,PG,Adventure Drama History,140,7.6
969,1994,R,Comedy Drama Romance,92,7.6
970,1993,R,Comedy,102,7.6
971,1992,R,Comedy Crime,120,7.6
972,1991,PG,Animation Drama Romance,118,7.6
973,1991,R,Comedy Crime,99,7.6
974,1990,PG,Comedy Family,103,7.6
975,1990,R,Crime Drama,162,7.6
976,1989,R,Comedy Drama Romance,95,7.6
977,1988,PG-13,Comedy Crime,85,7.6
978,1987,R,Comedy Drama,107,7.6
979,1987,R,Action Crime Thriller,109,7.6
980,1984,R,Crime Drama Thriller,99,7.6
981,1981,R,Action Adventure Sci-Fi,96,7.6
982,1979,R,Action Crime Thriller,92,7.6
983,1979,Not Rated,Animation Action Adventure,102,7.6
984,1979,G,Adventure Comedy Family,95,7.6
985,1979,PG,Action Biography Crime,112,7.6
986,1978,PG,Animation Adventure Drama,91,7.6
987,1977,PG,Drama Sci-Fi,138,7.6
988,1973,R,Comedy Crime Drama,112,7.6
989,1971,PG,Drama War Western,138,7.6
990,1970,GP,Adventure Comedy War,144,7.6
991,1968,M,Action Adventure War,158,7.6
992,1967,G,Animation Adventure Family,78,7.6
993,1964,G,Comedy Musical,87,7.6
994,1961,Not Rated,Comedy Drama Romance,115,7.6
995,1956,G,Drama Western,201,7.6
996,1953,Not Rated,Drama Romance War,118,7.6
997,1946,Not Rated,Drama Film-Noir Romance,110,7.6
998,1944,Not Rated,Drama War,97,7.6
999,1935,Not Rated,Crime Mystery Thriller,86,7.6
