,Name of movie,Description,Genre,Metascore
242,Nobody Knows,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",Drama,88
244,Million Dollar Baby,A determined woman works with a hardened boxing trainer to become a professional.,Drama Sport,86
245,Hotel Rwanda,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",Biography Drama History,79
246,Before Sunset,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",Drama Romance,90
248,Memories of Murder,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Crime Drama Mystery,82
250,Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Action Crime Drama,69
251,Finding Nemo,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Animation Adventure Comedy,90
252,Catch Me If You Can,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Biography Crime Drama,75
253,Love's a Bitch,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",Drama Thriller,83
254,"Monsters, Inc.","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Animation Adventure Comedy,79
256,Lagaan: Once Upon a Time in India,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Drama Musical Sport,84
257,The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,Drama Mystery Thriller,64
258,The Celebration,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Drama,82
259,The Legend of 1900,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",Drama Music Romance,58
260,The Truman Show,An insurance salesman discovers his whole life is actually a reality TV show.,Comedy Drama,90
261,"Black Cat, White Cat",Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,Comedy Crime Romance,73
262,The Big Lebowski,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Comedy Crime Sport,71
263,In the Mood for Love,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",Drama Romance,85
264,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,83
265,Fargo,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Crime Drama Thriller,85
266,Underground,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",Comedy Drama Fantasy,79
269,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Drama Romance,77
270,Three Colors: Red,A model discovers a retired judge is keen on invading people's privacy.,Drama Mystery Romance,100
271,Chungking Express,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",Comedy Crime Drama,78
273,Jurassic Park,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Action Adventure Sci-Fi,68
274,In the Name of the Father,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Biography Crime Drama,84
275,Farewell My Concubine,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Drama Music Romance,83
277,Dead Poets Society,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Comedy Drama,79
278,The Princess Bride,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Adventure Family Fantasy,77
279,Stand by Me,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Adventure Drama,75
280,Platoon,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Drama War,92
281,"Paris, Texas","Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Drama,78
282,Nausicaä of the Valley of the Wind,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Animation Adventure Fantasy,86
283,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Horror Mystery Sci-Fi,57
285,Fanny and Alexander,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Drama,100
286,Blade Runner,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Action Sci-Fi Thriller,84
287,The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",Biography Drama,78
289,Monty Python's Life of Brian,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,77
290,The Deer Hunter,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Drama War,86
291,Rocky,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Drama Sport,70
292,Network,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,Drama,83
293,Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Adventure Drama History,89
294,Mirror,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Biography Drama,80
295,Paper Moon,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",Comedy Crime Drama,77
297,Solaris,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Drama Mystery Sci-Fi,90
299,Cool Hand Luke,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",Crime Drama,92
300,Persona,A nurse is put in charge of a mute actress and finds that their personae are melding together.,Drama Thriller,86
302,The Battle of Algiers,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",Drama War,96
304,What Ever Happened to Baby Jane?,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Drama Horror Thriller,75
306,The Man Who Shot Liberty Valance,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,Drama Western,94
309,Inherit the Wind,"Based on a real-life case in 1925, two great lawyers argue the case for and against a science teacher accused of the crime of teaching evolution.",Biography Drama History,75
311,Ben-Hur,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",Adventure Drama History,90
315,The Bridge on the River Kwai,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",Adventure Drama War,87
316,Rififi,"Four men plan a technically perfect crime, but the human element intervenes...",Crime Drama Thriller,97
317,On the Waterfront,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Crime Drama Thriller,91
319,The Wages of Fear,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Adventure Drama Thriller,85
320,Ace in the Hole,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",Drama Film-Noir,72
322,The Third Man,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Film-Noir Mystery Thriller,97
324,The Best Years of Our Lives,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,Drama Romance War,93
325,The Shop Around the Corner,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Comedy Drama Romance,96
326,Rebecca,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,Drama Mystery Romance,86
327,The Grapes of Wrath,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",Drama History,96
328,Mr. Smith Goes to Washington,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Comedy Drama,73
329,Gone with the Wind,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Drama History Romance,97
331,It Happened One Night,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Comedy Romance,87
332,All Quiet on the Western Front,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",Drama War,91
334,The Circus,The Tramp finds work and the girl of his dreams at a circus.,Comedy Romance,90
338,Shang-Chi and the Legend of the Ten Rings,"Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",Action Adventure Fantasy,71
340,Togo,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.",Adventure Biography Drama,69
344,La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",Comedy Drama Music,94
345,Lion,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Biography Drama,69
346,The Martian,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",Adventure Drama Sci-Fi,80
347,Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",Animation Adventure Comedy,78
349,The Tale of The Princess Kaguya,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Animation Adventure Drama,89
350,Wonder,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time.",Drama Family,66
352,Short Term 12,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.,Drama,82
353,The Raid 2,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",Action Crime Thriller,71
354,The Imitation Game,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.",Biography Drama Thriller,71
355,Guardians of the Galaxy,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Action Adventure Comedy,76
356,Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",Action Drama Mystery,81
357,Her,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Drama Romance Sci-Fi,91
358,The Revenant,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Action Adventure Drama,76
359,Elite Squad 2: The Enemy Within,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",Action Crime Drama,71
360,The King's Speech,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",Biography Drama History,88
361,The Help,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Drama,62
362,Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Action Adventure Comedy,65
363,Darbareye Elly,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.,Drama Mystery,87
365,Ip Man,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",Action Biography Drama,59
366,My Name Is Khan,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Drama,50
368,Slumdog Millionaire,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",Drama Romance,84
369,Black Swan,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",Drama Thriller,79
370,Elite Squad,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",Action Crime Drama,33
371,The Avengers,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Action Adventure Sci-Fi,69
372,Persepolis,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Animation Biography Drama,90
373,Dallas Buyers Club,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Biography Drama,79
374,The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,Biography Drama,64
375,Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",Adventure Drama Thriller,64
376,The Bourne Ultimatum,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Action Adventure Mystery,85
377,3-Iron,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,Crime Drama Romance,72
378,Sin City,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",Crime Thriller,74
379,The Diving Bell and the Butterfly,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,Biography Drama,92
380,Tae Guk Gi: The Brotherhood of War,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",Action Drama War,64
382,Ratatouille,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Animation Adventure Comedy,96
383,Casino Royale,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Action Adventure Thriller,80
384,Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Action Crime Thriller,83
385,The Return,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",Drama,82
386,"Spring, Summer, Fall, Winter... and Spring",A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,Drama Romance,85
387,The Sea Inside,"The factual story of Spaniard Ramon Sampedro, who fought a 28 year campaign in favour of euthanasia and his own right to die.",Biography Drama,74
388,Cinderella Man,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",Biography Drama History,69
389,Infernal Affairs,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Action Crime Drama,75
390,Pirates of the Caribbean: The Curse of the Black Pearl,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Action Adventure Fantasy,63
391,Big Fish,A frustrated son tries to determine the fact from fiction in his dying father's life.,Adventure Drama Fantasy,58
392,The Incredibles,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Animation Action Adventure,90
394,Dogville,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Crime Drama,60
396,Donnie Darko,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Drama Mystery Sci-Fi,88
397,Magnolia,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Drama,77
398,Dancer in the Dark,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Crime Drama Musical,61
399,The Straight Story,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,Biography Drama,86
401,Central Station,"An emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.",Drama,80
402,The Iron Giant,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Animation Action Adventure,85
403,Sling Blade,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Drama,84
404,Secrets & Lies,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Comedy Drama,91
405,12 Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",Mystery Sci-Fi Thriller,74
406,Ghost in the Shell,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,Animation Action Crime,76
407,The Nightmare Before Christmas,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Animation Family Fantasy,82
408,Groundhog Day,A weatherman finds himself inexplicably living the same day over and over again.,Comedy Fantasy Romance,72
409,"Blood In, Blood Out","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo.",Crime Drama,47
410,Scent of a Woman,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",Drama,59
411,Aladdin,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Animation Adventure Comedy,86
412,JFK,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,Drama History Thriller,72
413,Beauty and the Beast,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Animation Family Fantasy,95
414,Dances with Wolves,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Adventure Drama Western,72
415,Do the Right Thing,"On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.",Comedy Drama,93
416,Rain Man,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Drama,65
418,Wings of Desire,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,Drama Fantasy Romance,79
419,Au Revoir les Enfants,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",Drama War,88
420,Castle in the Sky,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Animation Adventure Drama,78
422,The Terminator,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",Action Sci-Fi,84
423,Pink Floyd: The Wall,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,Drama Fantasy Music,47
424,Gandhi,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,Biography Drama History,79
425,Kagemusha,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.,Drama History War,84
426,Being There,"A simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful businessman and an insider in Washington politics.",Comedy Drama,83
427,Annie Hall,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.",Comedy Romance,92
428,All the President's Men,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",Biography Drama History,84
429,Jaws,"When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",Adventure Thriller,87
430,Dog Day Afternoon,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",Biography Crime Drama,86
431,Young Frankenstein,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.",Comedy,80
432,Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",Biography Crime Drama,58
433,The Exorcist,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",Horror,81
435,The Last Picture Show,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",Drama Romance,93
436,Fiddler on the Roof,"In pre-revolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",Drama Family Musical,67
437,The Conformist,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.",Drama,100
438,Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",Biography Crime Drama,66
439,Rosemary's Baby,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,Drama Horror,96
440,Planet of the Apes,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.",Adventure Sci-Fi,79
441,The Graduate,A disillusioned college graduate finds himself torn between his older lover and her daughter.,Comedy Drama Romance,83
442,Who's Afraid of Virginia Woolf?,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Drama,75
443,The Sound of Music,A woman leaves an Austrian convent to become a governess to a Naval officer widower's children.,Biography Drama Family,63
444,Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",Drama Romance War,69
445,A Fistful of Dollars,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",Action Drama Western,65
446,8½,A harried movie director retreats into his memories and fantasies.,Drama,91
448,The Hustler,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,Drama Sport,90
449,The Sweet Life,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.,Comedy Drama,95
450,Rio Bravo,"A small-town sheriff in the American West enlists the help of a disabled man, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",Action Drama Western,93
451,Anatomy of a Murder,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?",Crime Drama Mystery,95
452,Touch of Evil,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",Crime Drama Film-Noir,99
453,Cat on a Hot Tin Roof,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Drama,84
454,Sweet Smell of Success,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,Drama Film-Noir,100
455,The Killing,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,Crime Drama Film-Noir,91
456,The Night of the Hunter,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Crime Drama Film-Noir,99
458,Stalag 17,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.",Comedy Drama War,84
459,Roman Holiday,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,Comedy Romance,78
460,High Noon,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",Drama Thriller Western,89
461,A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Drama,97
462,Strangers on a Train,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,Crime Film-Noir Thriller,88
465,Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,Crime Drama Mystery,73
467,Notorious,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,Drama Film-Noir Romance,100
468,Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",Drama Romance,92
471,The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",Crime Film-Noir Mystery,96
472,The Wizard of Oz,Dorothy Gale is swept away from her home in Kansas to the magical Land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home and help her friends as well.,Adventure Family Fantasy,92
474,The Thin Man,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",Comedy Crime Mystery,86
475,Battleship Potemkin,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",Drama History Thriller,97
476,Knives Out,"A detective investigates the death of a patriarch of an eccentric, combative family.",Comedy Crime Drama,82
477,Shoplifters,A family of small-time crooks take in a child they find outside in the cold.,Crime Drama,93
478,Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,Comedy Drama Romance,94
480,Call Me by Your Name,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",Drama Romance,93
481,"I, Daniel Blake","After surviving a heart-attack, a 59-year-old carpenter must fight bureaucratic forces to receive Employment and Support Allowance.",Drama,78
482,Isle of Dogs,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",Animation Adventure Comedy,82
483,Hunt for the Wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Adventure Comedy Drama,81
485,Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",Comedy Drama,72
486,Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,Comedy Drama Music,79
487,Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Action Adventure Comedy,74
488,Jojo Rabbit,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,Comedy Drama War,58
489,Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,Drama Sci-Fi,81
490,Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,Drama Music Romance,65
491,Before Midnight,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,Drama Romance,94
492,X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,Action Adventure Sci-Fi,75
493,Once Upon a Time in Anatolia,A group of men set out in search of a dead body in the Anatolian steppes.,Crime Drama,82
494,Bohemian Rhapsody,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",Biography Drama Music,49
495,The Perks of Being a Wallflower,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,Drama Romance,67
